m,x,b,y
-6,-4,-93,-69
71,77,45,5512
93,34,-80,3082
-78,-63,19,4933
65,-39,-27,-2562
-21,-99,-90,1989
17,-97,81,-1568
-96,66,75,-6261
-63,-49,-74,3013
-93,34,-12,-3174
-40,58,-36,-2356
81,95,64,7759
31,-51,-37,-1618
20,-92,57,-1783
14,-28,-10,-402
-19,24,80,-376
43,-75,62,-3163
92,42,96,3960
93,-23,79,-2060
31,17,99,626
-22,-4,-38,50
-79,16,12,-1252
-70,66,27,-4593
-50,-11,-52,498
100,43,23,4323
-62,-32,90,2074
37,-52,5,-1919
4,-13,100,48
64,92,9,5897
-38,8,35,-269
-74,-44,29,3285
-98,-7,-33,653
-37,-70,63,2653
-38,39,5,-1477
80,40,51,3251
-42,-60,70,2590
-64,13,-85,-917
97,-99,-89,-9692
-1,97,80,-17
-44,39,-67,-1783
6,78,-88,380
-56,-5,83,363
-97,74,41,-7137
86,93,75,8073
47,86,0,4042
-7,-53,-48,323
-81,-51,-70,4061
70,-1,37,-33
80,80,82,6482
-91,-59,-80,5289
85,7,87,682
-82,90,70,-7310
-88,-72,90,6426
-72,55,-20,-3980
-59,42,-72,-2550
-57,-12,-49,635
27,-17,-74,-533
-78,21,79,-1559
39,-26,-20,-1034
7,-21,30,-117
44,21,-14,910
72,69,-14,4954
-79,99,-56,-7877
72,9,-56,592
-12,-72,58,922
-51,-5,-32,223
47,-16,63,-689
25,50,-63,1187
-49,-37,95,1908
49,-40,99,-1861
7,13,-85,6
26,37,-41,921
-8,54,-47,-479
-67,1,17,-50
10,-36,-77,-437
65,89,-26,5759
72,10,-30,690
22,6,47,179
18,-26,13,-455
-86,-45,44,3914
-40,-78,87,3207
-56,61,1,-3415
9,-19,60,-111
-99,99,-8,-9809
-97,59,19,-5704
-7,-57,68,467
-79,-23,78,1895
-100,-87,-60,8640
-19,98,100,-1762
100,-84,96,-8304
51,-8,12,-396
13,49,63,700
65,-63,-95,-4190
-90,-94,19,8479
2,15,15,45
64,-77,-57,-4985
38,-46,-86,-1834
4,-19,-60,-136
-20,-13,63,323
-12,68,71,-745
-77,44,-74,-3462
14,47,-20,638
81,-70,13,-5657
-1,48,40,-8
93,86,52,8050
41,25,71,1096
-73,-62,-4,4522
21,-11,14,-217
-96,28,-79,-2767
-95,-60,33,5733
-39,94,48,-3618
-82,-50,100,4200
31,61,-56,1835
94,-35,88,-3202
-85,-74,13,6303
-41,-17,74,771
22,-9,-6,-204
72,63,-64,4472
56,88,-66,4862
6,-7,-10,-52
44,34,-52,1444
87,12,-78,966
0,70,84,84
47,-77,-10,-3629
90,-72,-95,-6575
96,-39,-41,-3785
-56,93,-15,-5223
-85,-28,-79,2301
-2,3,-19,-25
-64,65,-36,-4196
-2,35,-96,-166
27,-63,-93,-1794
76,22,-94,1578
-46,-67,19,3101
-15,-38,-8,562
-29,50,-22,-1472
-63,-91,99,5832
-77,-55,58,4293
-21,16,-23,-359
44,99,65,4421
-56,-24,-53,1291
-84,-12,36,1044
-14,-7,94,192
-80,6,-46,-526
3,-32,70,-26
9,-94,32,-814
-63,4,-72,-324
85,-10,91,-759
-83,-30,5,2495
67,-8,63,-473
-62,91,-62,-5704
43,14,-51,551
63,-58,71,-3583
-95,-45,-97,4178
2,-29,-30,-88
-31,-11,-6,335
-55,98,76,-5314
81,-32,49,-2543
-54,-98,-85,5207
61,21,4,1285
39,-58,-40,-2302
-32,-14,-89,359
83,1,-10,73
17,56,-52,900
94,54,21,5097
-21,3,86,23
-71,30,78,-2052
-72,-82,-83,5821
96,-4,27,-357
96,0,-86,-86
-69,-51,-87,3432
14,-22,26,-282
29,-12,-43,-391
79,-14,-24,-1130
90,10,14,914
-46,56,65,-2511
-20,44,-39,-919
-51,-66,-10,3356
-83,28,80,-2244
-55,-12,-31,629
-37,-60,-17,2203
36,-81,38,-2878
23,69,86,1673
-70,70,-5,-4905
44,-74,81,-3175
34,17,96,674
25,91,25,2300
54,62,71,3419
-67,99,-84,-6717
-23,-12,-69,207
25,-88,-85,-2285
-94,-85,-47,7943
49,72,-89,3439
-8,-22,45,221
-36,25,-47,-947
5,-13,89,24
43,25,76,1151
0,40,-17,-17
-61,-60,-89,3571
91,-69,-94,-6373
-22,-13,58,344
-6,-76,98,554
-63,-94,-61,5861
32,90,-48,2832
62,-87,4,-5390
43,-28,60,-1144
58,49,-89,2753
90,-98,-13,-8833
-4,-86,-45,299
100,26,70,2670
75,-93,0,-6975
-29,10,86,-204
-75,-20,-47,1453
14,-12,79,-89
74,11,4,818
-71,-24,-52,1652
-67,-37,13,2492
-40,1,49,9
-73,63,-28,-4627
44,3,-58,74
11,50,10,560
-63,36,96,-2172
41,81,-49,3272
100,85,-41,8459
26,33,-85,773
17,48,-93,723
88,10,-32,848
-42,49,37,-2021
-55,96,5,-5275
-12,-5,36,96
57,7,39,438
-40,47,2,-1878
-36,-43,-35,1513
68,-81,24,-5484
-58,53,78,-2996
33,4,-57,75
86,-15,-65,-1355
-23,-3,-48,21
-16,20,43,-277
77,7,45,584
-21,78,41,-1597
-64,-97,-32,6176
77,-82,88,-6226
55,82,-20,4490
-38,1,-17,-55
79,26,-51,2003
79,47,-32,3681
-23,-100,-36,2264
-4,13,72,20
-88,-14,72,1304
36,-83,-79,-3067
-32,-23,82,818
39,-16,-53,-677
77,-10,27,-743
-11,-67,65,802
76,-96,-45,-7341
31,-49,4,-1515
-66,-91,-41,5965
86,52,-76,4396
-11,-96,-16,1040
31,-15,-15,-480
-75,51,-25,-3850
-59,95,-62,-5667
29,60,-54,1686
50,-41,-52,-2102
91,86,-96,7730
-1,21,54,33
-90,95,-66,-8616
30,58,-53,1687
98,24,-37,2315
19,42,53,851
55,81,-90,4365
76,-79,-27,-6031
-94,-41,-6,3848
-47,-71,53,3390
66,-68,42,-4446
93,-6,58,-500
56,45,-3,2517
75,-9,-13,-688
30,40,-41,1159
3,-40,19,-101
23,-84,-90,-2022
-52,34,-81,-1849
50,98,67,4967
99,62,-89,6049
-48,-70,97,3457
5,-2,8,-2
4,3,-43,-31
-64,92,-79,-5967
21,30,-86,544
-46,83,79,-3739
55,-87,-76,-4861
-12,55,-84,-744
51,46,-79,2267
41,54,-92,2122
70,-63,82,-4328
-21,-1,-28,-7
-26,-95,54,2524
55,-100,-49,-5549
-17,-39,34,697
-86,-59,53,5127
24,64,-77,1459
-33,-23,-97,662
-59,23,-37,-1394
-67,-33,3,2214
-99,42,-23,-4181
4,-20,89,9
48,32,33,1569
5,-26,-83,-213
-29,-48,85,1477
-39,-28,-94,998
99,-67,-44,-6677
66,-3,31,-167
-13,16,21,-187
-29,-99,-29,2842
30,15,-30,420
59,-87,-1,-5134
-49,-5,90,335
-17,69,47,-1126
82,84,-30,6858
8,76,67,675
33,5,-50,115
-53,-99,-48,5199
14,-4,50,-6
2,52,16,120
15,-97,79,-1376
14,39,-41,505
-78,25,-94,-2044
45,28,-81,1179
63,19,-96,1101
17,40,-82,598
-52,-75,-38,3862
55,15,11,836
-45,93,18,-4167
-60,-93,-47,5533
26,90,-17,2323
-53,10,-10,-540
65,29,93,1978
16,-14,-35,-259
56,20,-82,1038
-24,-86,82,2146
-99,-25,-99,2376
29,-68,65,-1907
-42,-61,89,2651
14,5,75,145
72,70,-44,4996
-99,-100,32,9932
12,13,67,223
-60,-83,58,5038
12,-30,45,-315
-4,-19,57,133
-10,-25,72,322
31,36,12,1128
-7,-9,-56,7
73,-39,76,-2771
-85,-69,-79,5786
94,100,73,9473
-77,-29,26,2259
33,8,-45,219
100,-72,10,-7190
-27,-96,-94,2498
-24,15,-84,-444
57,63,-84,3507
-39,81,17,-3142
70,52,-8,3632
-89,-62,95,5613
79,-78,-6,-6168
42,-54,-57,-2325
34,-56,84,-1820
54,64,-56,3400
-4,2,31,23
36,19,25,709
10,70,46,746
-68,55,6,-3734
92,-31,18,-2834
96,24,-96,2208
-40,34,-22,-1382
76,-7,-23,-555
-4,81,-43,-367
-64,-72,49,4657
-79,23,48,-1769
-49,43,67,-2040
63,1,-55,8
42,-59,47,-2431
95,44,13,4193
-11,-66,-52,674
-47,-1,24,71
-1,-72,-20,52
20,5,100,200
-38,57,62,-2104
-82,-62,22,5106
56,12,84,756
-44,90,17,-3943
-36,92,-84,-3396
-71,58,-24,-4142
-49,-58,-47,2795
47,58,27,2753
-14,-50,55,755
-42,49,-73,-2131
-63,-90,-92,5578
41,10,-60,350
-72,-100,2,7202
78,54,85,4297
45,14,22,652
60,-90,-70,-5470
77,-70,85,-5305
83,-69,72,-5655
75,23,-58,1667
55,-2,-59,-169
-3,2,-79,-85
-78,74,-83,-5855
83,-99,100,-8117
-100,-98,-72,9728
99,58,50,5792
-71,50,-94,-3644
26,-98,66,-2482
0,5,-72,-72
-76,16,-84,-1300
12,97,-25,1139
70,-30,-56,-2156
37,0,-62,-62
-32,-53,-46,1650
-85,93,96,-7809
23,-29,-91,-758
-21,-79,34,1693
-38,-97,55,3741
83,-32,-67,-2723
-75,-29,-35,2140
-15,-72,11,1091
-100,49,63,-4837
-55,45,36,-2439
-10,-85,-8,842
74,-64,-51,-4787
80,-75,-79,-6079
29,-4,14,-102
-97,-77,13,7482
-52,51,42,-2610
-39,83,-47,-3284
-4,-63,41,293
72,-3,54,-162
-23,2,-97,-143
-71,-67,-46,4711
0,15,-9,-9
-23,72,-42,-1698
-56,64,-44,-3628
20,21,71,491
-89,-5,61,506
-52,-42,52,2236
55,-49,36,-2659
29,57,-68,1585
-13,26,-71,-409
62,0,-84,-84
4,91,21,385
76,-3,-92,-320
20,68,79,1439
61,94,-66,5668
-39,-13,25,532
-91,93,-51,-8514
82,-62,-25,-5109
23,-32,51,-685
52,47,8,2452
-6,-49,15,309
-63,-88,-20,5524
-82,94,-33,-7741
44,-69,13,-3023
56,50,76,2876
-46,52,26,-2366
-35,42,82,-1388
89,52,-65,4563
-84,9,58,-698
0,98,57,57
-43,59,-84,-2621
-80,-68,-29,5411
3,27,51,132
31,-91,64,-2757
54,12,-44,604
-51,-30,-94,1436
-56,11,-7,-623
-22,91,-32,-2034
-91,-65,45,5960
-35,-14,74,564
-64,41,-7,-2631
82,-32,-25,-2649
-41,62,-54,-2596
5,-7,19,-16
-41,-34,-7,1387
-71,23,87,-1546
100,21,-89,2011
-13,-43,25,584
-12,-79,-81,867
98,17,18,1684
67,-76,18,-5074
-45,-46,77,2147
-81,4,11,-313
30,77,-32,2278
12,-88,81,-975
96,13,-65,1183
60,98,58,5938
50,5,-48,202
-44,-47,-35,2033
-96,-99,68,9572
-16,67,60,-1012
-45,35,-30,-1605
-69,-88,64,6136
94,-47,-2,-4420
-35,-4,41,181
-94,67,30,-6268
24,-100,46,-2354
-24,-20,-79,401
-97,17,94,-1555
57,-95,56,-5359
-37,74,-33,-2771
65,-45,16,-2909
-97,61,17,-5900
49,68,-53,3279
88,-20,69,-1691
-29,1,-82,-111
-83,0,37,37
56,-53,-17,-2985
-58,19,-58,-1160
51,-8,34,-374
-45,86,53,-3817
86,83,31,7169
-28,61,95,-1613
85,100,42,8542
32,-8,48,-208
90,77,48,6978
16,-32,-29,-541
42,95,29,4019
16,20,-38,282
-41,-42,80,1802
-93,-24,27,2259
-56,2,-80,-192
8,-86,22,-666
89,48,-56,4216
-29,-18,4,526
85,42,-37,3533
-13,69,-65,-962
72,-90,-97,-6577
35,-52,7,-1813
34,-12,-47,-455
68,-12,-65,-881
-52,33,83,-1633
82,-60,-23,-4943
-9,-60,18,558
23,35,68,873
58,-19,80,-1022
-27,59,-47,-1640
31,28,85,953
40,36,-37,1403
-9,89,-64,-865
-8,15,-87,-207
93,58,-11,5383
-19,16,-1,-305
-28,-84,-1,2351
-93,-27,-58,2453
-34,-27,32,950
16,-78,-21,-1269
-60,-48,-89,2791
74,-35,31,-2559
-7,62,71,-363
-6,36,77,-139
-34,-18,7,619
-16,-25,21,421
73,-80,-75,-5915
86,17,57,1519
-83,24,-54,-2046
55,93,-5,5110
56,-23,-6,-1294
-22,17,70,-304
-12,38,31,-425
98,18,-32,1732
79,35,-49,2716
25,-88,77,-2123
-21,-56,-76,1100
-92,17,76,-1488
-87,65,-46,-5701
3,-96,-41,-329
18,-77,-74,-1460
43,81,92,3575
34,93,-5,3157
-56,-13,72,800
-60,48,48,-2832
-48,13,-40,-664
-91,23,-11,-2104
-58,99,98,-5644
3,-58,-51,-225
78,-56,-33,-4401
-90,-47,-86,4144
90,84,43,7603
-38,85,-2,-3232
73,77,-47,5574
-6,43,20,-238
-100,54,-28,-5428
87,75,-65,6460
-86,44,12,-3772
42,35,22,1492
10,-29,-84,-374
-53,76,85,-3943
42,65,76,2806
73,90,61,6631
93,84,-47,7765
-1,36,40,4
-40,-56,45,2285
96,95,58,9178
31,69,25,2164
-1,-29,-88,-59
-79,9,-66,-777
-98,-25,-94,2356
30,-62,-57,-1917
-20,23,-44,-504
-30,53,92,-1498
56,-16,17,-879
-12,58,79,-617
-78,72,-29,-5645
-41,79,-7,-3246
1,68,-79,-11
-88,-50,94,4494
-74,-35,-32,2558
21,-72,-23,-1535
-97,-24,66,2394
-92,-22,-55,1969
96,-98,76,-9332
-56,31,-51,-1787
55,13,-97,618
-87,-7,-75,534
-86,80,75,-6805
-92,-70,-45,6395
9,58,-12,510
-18,3,69,15
25,63,-60,1515
95,-18,58,-1652
65,3,11,206
-30,3,-74,-164
-17,20,-2,-342
10,-19,36,-154
-60,-63,-23,3757
3,56,-67,101
-98,-42,-85,4031
79,-54,-32,-4298
-94,32,96,-2912
-34,-42,-43,1385
-93,-38,98,3632
94,86,58,8142
9,-18,24,-138
-93,-75,25,7000
-11,-4,-69,-25
-94,96,44,-8980
29,31,-67,832
54,-100,64,-5336
-98,-98,-23,9581
-76,35,-16,-2676
-21,-34,-100,614
47,-98,-95,-4701
-78,-22,63,1779
-7,40,23,-257
-72,-23,-89,1567
-52,71,-77,-3769
-53,-12,-70,566
2,-12,-10,-34
61,5,-38,267
-82,46,22,-3750
38,-95,36,-3574
-39,-54,-99,2007
100,45,-86,4414
-7,-14,-47,51
-51,-96,23,4919
93,36,-81,3267
-36,91,-64,-3340
-26,-73,22,1920
2,-82,65,-99
-5,-24,-87,33
65,53,-44,3401
-96,-5,-81,399
-43,62,-90,-2756
-3,-52,84,240
14,72,-9,999
-32,44,39,-1369
-64,-7,-51,397
-47,-18,87,933
-38,88,89,-3255
-1,32,-60,-92
-49,-51,-76,2423
-80,85,93,-6707
-80,44,-6,-3526
-92,-62,-31,5673
17,71,-26,1181
-5,-86,-38,392
60,-38,-4,-2284
-55,59,25,-3220
57,-81,-83,-4700
-91,35,-44,-3229
-88,87,-29,-7685
8,52,-48,368
41,56,35,2331
87,95,95,8360
-38,23,-4,-878
-5,47,35,-200
-81,84,50,-6754
-64,-29,-82,1774
-7,-17,-25,94
65,91,-32,5883
56,56,-19,3117
51,41,-57,2034
-19,97,81,-1762
-54,-79,91,4357
64,74,27,4763
-94,-64,11,6027
26,-39,63,-951
59,-98,-73,-5855
25,91,69,2344
59,-23,-15,-1372
9,24,94,310
31,-10,29,-281
97,-2,28,-166
-39,10,-3,-393
16,-65,-12,-1052
-8,-89,-1,711
9,-19,-24,-195
13,-92,-51,-1247
-68,89,61,-5991
50,-3,-7,-157
52,-95,-91,-5031
-56,13,-82,-810
58,76,-31,4377
-30,-9,-19,251
-47,64,-85,-3093
2,-13,20,-6
-82,-45,10,3700
-64,99,-95,-6431
61,-67,-92,-4179
73,-50,-2,-3652
-43,39,-65,-1742
